"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"0635 Forsknings- og oplysningsvirksomhed "; 261,2; 319,0; 265,5; 276,3; 276,3; 276,3
"063501 Forskning og oplysning i Danmark m.v. "; 180,5; 239,0; 201,4; 208,3; 208,3; 208,3
"06350110 Projekter i Danmark "; 55,0; 52,0; 44,8; 50,0; 50,0; 50,0
"06350111 Forskningsvirksomhed "; 44,5; 101,7; 95,0; 96,7; 96,7; 96,7
"06350112 Institut for Internationale Studier "; 20,0; 18,3; 0,0; 0,0; 0,0; 0,0
"06350113 Oplysningsvirksomhed "; 45,7; 40,0; 33,5; 35,0; 35,0; 35,0
"06350114 Kulturelt samarbejde "; 14,2; 14,0; 15,7; 14,0; 14,0; 14,0
"06350115 Udredningsvirksomhed "; 0,0; 9,0; 8,6; 8,6; 8,6; 8,6
"06350117 Seminarer, kurser, konferencer m.v. "; 1,2; 4,0; 3,8; 4,0; 4,0; 4,0
"063502 International udviklingsforskning "; 80,8; 80,0; 64,1; 68,0; 68,0; 68,0
"06350210 International landbrugsforskning (CGIAR) "; 61,6; 60,0; 41,1; 45,0; 45,0; 45,0
"06350211 Anden international udviklingsforskning "; 19,1; 20,0; 23,0; 23,0; 23,0; 23,0
"0636 Multilateral bistand gennem FN "; 1688,4; 1737,6; 1823,8; 1720,2; 1768,9; 1788,9
"063601 UNDP "; 439,9; 440,6; 451,9; 438,6; 438,6; 438,6
"06360110 FN's Udviklingsprogram (UNDP) "; 370,0; 370,0; 370,0; 370,0; 370,0; 370,0
"06360111 Kapitaludviklingsfonden (UNCDF) "; 30,0; 25,0; 20,0; 20,0; 20,0; 20,0
"06360112 FN's Udviklingsfond for Kvinder (UNIFEM) "; 5,0; 5,0; 5,0; 5,0; 5,0; 5,0
"06360113 Bidrag til UNDP-trustfonde "; 17,2; 20,0; 10,8; 20,0; 20,0; 20,0
"06360114 FN-center i København "; 17,8; 20,6; 46,1; 23,6; 23,6; 23,6
"063602 De Forenede Nationers Børnefond (UNICEF) "; 191,2; 193,0; 225,4; 195,0; 195,0; 195,0
"06360210 Generelt bidrag til UNICEF "; 178,9; 180,0; 200,0; 180,0; 180,0; 180,0
"06360211 UNICEF's lagerfaciliteter i København "; 12,3; 13,0; 25,4; 15,0; 15,0; 15,0
"063603 HIV/AIDS, Befolknings- og Sundhedsprogrammer "; 439,2; 433,0; 450,0; 455,0; 460,0; 460,0
"06360310 FN's Befolkningsfond (UNFPA) "; 175,0; 170,0; 180,0; 180,0; 180,0; 180,0
"06360311 Den intern. Sammensl. f. Familieplanlægning "; 45,0; 40,0; 40,0; 40,0; 40,0; 40,0
"06360312 Verdenssundhedsorganisationen WHO's særprogr."; 40,0; 40,0; 40,0; 40,0; 40,0; 40,0
"06360314 FN's Aids-bekæmpelsesprogram (UNAIDS) "; 25,0; 25,0; 30,0; 35,0; 40,0; 40,0
"06360315 Øvrige bidrag til befolknings- og sundhedspr."; 9,5; 18,0; 60,0; 60,0; 60,0; 60,0
"06360316 Den Globale Fond "; 144,7; 140,0; 100,0; 100,0; 100,0; 100,0
"063604 FN's landbrug m.v. "; 234,7; 210,7; 221,3; 220,0; 220,0; 220,0
"06360410 FN's Verdensfødevareprogram (WFP) "; 170,0; 160,0; 160,3; 160,0; 160,0; 160,0
"06360411 FN's Landbrugsudviklingsfond (IFAD) "; 64,7; 48,7; 61,0; 60,0; 60,0; 60,0
"06360412 FAO's projekter og programmer "; 0,0; 2,0; 0,0; 0,0; 0,0; 0,0
