"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"06220110 De Forenede Nationer "; 26,1; 37,4; 38,0; 38,0; 38,0; 38,0
"062203 Øvrige organisationer "; 184,6; 187,9; 190,5; 190,7; 190,7; 190,7
"06220310 Almindelig virksomhed "; 184,6; 187,9; 190,5; 190,7; 190,7; 190,7
"062205 Den Europæiske Investeringsbank "; 4,6; 4,1; 4,2; 4,2; 4,2; 4,2
"06220510 Den Europæiske Investeringsbank "; 4,6; 4,1; 4,2; 4,2; 4,2; 4,2
"063 Bistand til udviklingslandene "; 10938,9; 10526,7; 10871,3; 10685,3; 10682,3; 10823,3
"0631 Fællesudgifter "; 600,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063101 Admini. af det internationale udvikl.samarbej "; 600,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06310110 Almindelig virksomhed "; 600,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 4683,5; 4817,3; 4808,6; 4796,1; 4735,6; 4797,2
"063201 Udviklingslande i Afrika "; 2168,2; 2106,3; 2158,1; 2139,0; 2128,5; 2145,1
"06320110 Tanzania "; 461,5; 380,0; 405,0; 380,0; 380,0; 380,0
"06320111 Kenya "; 89,0; 120,0; 120,0; 160,0; 160,0; 160,0
"06320112 Uganda "; 260,2; 250,0; 250,0; 250,0; 250,0; 250,0
"06320113 Mozambique "; 330,1; 290,0; 290,0; 290,0; 290,0; 320,0
"06320115 Ghana "; 303,0; 290,0; 290,0; 290,0; 290,0; 290,0
"06320116 Benin "; 131,1; 180,0; 200,0; 180,0; 180,0; 180,0
"06320117 Burkina Faso "; 174,6; 195,0; 195,0; 195,0; 195,0; 195,0
"06320118 Zambia "; 149,4; 170,0; 200,0; 190,0; 190,0; 190,0
"06320119 Egypten "; 96,1; 95,0; 62,4; 50,0; 50,0; 35,0
"06320123 Øvrige lande i Afrika "; 173,3; 136,3; 145,7; 154,0; 143,5; 145,1
"063202 Udviklingslande i Asien "; 1107,0; 918,6; 887,9; 755,1; 720,1; 695,1
"06320211 Bangladesh "; 239,9; 230,0; 185,0; 200,0; 200,0; 200,0
"06320212 Nepal "; 221,7; 150,0; 125,0; 150,0; 150,0; 150,0
"06320213 Bhutan "; 85,3; 65,0; 65,0; 60,0; 55,0; 45,0
"06320214 Vietnam "; 310,6; 250,0; 279,2; 250,0; 250,0; 250,0
"06320215 Øvrige lande i Asien "; 249,6; 223,6; 233,7; 95,1; 65,1; 50,1
"063203 Udviklingslande i Latinamerika "; 341,3; 385,0; 325,9; 440,0; 430,0; 435,0
"06320310 Nicaragua "; 171,8; 180,0; 180,0; 180,0; 180,0; 180,0
"06320311 Bolivia "; 156,5; 195,0; 125,9; 200,0; 200,0; 200,0
"06320312 Øvrige lande i Latinamerika "; 13,1; 10,0; 20,0; 60,0; 50,0; 55,0
"063204 Personelbistand "; 492,1; 452,0; 400,0; 428,0; 428,0; 428,0
"06320410 Rådgiverbistand "; 282,5; 308,0; 262,0; 298,0; 298,0; 298,0
"06320411 Stipendiatbistand "; 60,1; 40,0; 40,0; 40,0; 40,0; 40,0
"06320412 Firmarådgivere "; 149,4; 104,0; 98,0; 90,0; 90,0; 90,0
"063205 Privat Sektor Programmet m.v. "; 136,3; 176,0; 170,6; 180,0; 180,0; 180,0
"06320512 Privat Sektor Programmer (PS-programmer) "; 136,3; 150,0; 155,0; 160,0; 160,0; 160,0
"06320513 Miljø- og Træningsfonden "; 0,0; 6,0; 6,0; 0,0; 0,0; 0,0
"06320515 Offentlige-Private Partnerskaber "; 0,0; 20,0; 9,6; 20,0; 20,0; 20,0
"063206 Blandede kreditter "; 83,7; 310,0; 270,1; 300,0; 300,0; 300,0
"06320610 Blandede kreditter "; 83,7; 310,0; 270,1; 300,0; 300,0; 300,0
"063207 Lånebistand "; 110,3; 169,4; 302,8; 166,0; 166,0; 166,0
"06320712 Afskrivning af lån "; 0,0; 0,0; 121,4; 0,0; 0,0; 0,0
"06320714 Gældslettelse til udviklingslandene "; 110,3; 169,4; 181,4; 166,0; 166,0; 166,0
"063208 Bilateral bistand til regional- og nærområder "; 75,9; 155,0; 79,2; 175,0; 175,0; 190,0
"06320810 Styrkelse af indsatser i nærområder "; 46,5; 80,0; -1,0; 60,0; 60,0; 75,0
"06320820 Bilateral regionalbistand "; 29,3; 75,0; 80,2; 115,0; 115,0; 115,0
"063209 Menneskerettigheder og demokratisering "; 100,0; 145,0; 213,4; 213,0; 208,0; 258,0
"06320910 Projekter til støtte for demokrati og m.ret "; 47,4; 100,0; 165,4; 165,0; 160,0; 210,0
"06320920 Støtte t.Rehabiliterings- og F. Torturof.(RCT"; 37,6; 45,0; 48,0; 48,0; 48,0; 48,0
"06320930 Demokratifonden "; 15,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063210 Overgangsbistand til vestlige Balkan "; 68,8; 0,0; 0,6; 0,0; 0,0; 0,0
"06321010 Overgangsbistand til Albanien "; 12,1; 0,0; 0,1; 0,0; 0,0; 0,0
"06321011 Overgangsbistand til øvrige Balkan "; 56,7; 0,0; 0,5; 0,0; 0,0; 0,0
"0633 NGO-bistand "; 866,3; 856,5; 891,4; 883,5; 883,5; 883,5
"063301 Bistand gennem private organisationer "; 866,3; 856,5; 891,4; 883,5; 883,5; 883,5
"06330110 Projektstøtte under rammeaftaler "; 428,3; 356,0; 361,9; 338,0; 338,0; 338,0
"06330111 Andre samarbejdsformer med NGO'er "; 274,8; 336,0; 365,0; 389,3; 389,3; 389,3
"06330112 Renovering og forsendelse "; 0,0; 9,0; 9,0; 9,0; 9,0; 9,0
"06330113 Mellemfolkeligt Samvirke "; 163,3; 155,5; 155,5; 147,2; 147,2; 147,2
"0634 Særlig miljøbistand "; 484,0; 424,6; 411,5; 430,5; 430,5; 430,5
"063401 Særlig miljøbistand i udviklingslande "; 484,0; 424,6; 411,5; 430,5; 430,5; 430,5
"06340110 Nye danske indsatser i globale miljøprogram. "; 14,8; 0,0; -1,8; 0,0; 0,0; 0,0
"06340120 Bilaterale miljøindsatser "; 445,7; 401,6; 413,3; 430,5; 430,5; 430,5
"06340130 Konsulenter og rådgivende firmaer "; 22,3; 20,0; -0,9; 0,0; 0,0; 0,0
"06340140 Informationsindsats "; 1,2; 3,0; 0,9; 0,0; 0,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 319,6; 276,3; 232,4; 280,3; 280,3; 280,3
"063501 Forskning og oplysning i Danmark m.v. "; 240,4; 208,3; 182,4; 230,3; 230,3; 230,3
"06350110 Projekter i Danmark "; 48,6; 50,0; 32,9; 48,0; 48,0; 48,0
