"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2011";"2012";"2013";"2014";"2015";"2016" 
"0921 Skatte- og afgiftsforvaltning "; 1698,7; 1624,2; 1663,3; 1516,5; 1687,3; 1615,0
"092101 SKAT "; 1698,7; 1624,2; 1661,0; 1543,0; 1713,8; 1641,5
"09210110 Almindelig virksomhed "; 1698,7; 1624,2; 1661,0; 1543,0; 1713,8; 1641,5
"09210190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"09210197 Ferie i eIndkomst "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"092102 Spillemyndigheden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"09210210 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"092103 Gebyrer, retsafgifter mv. "; 0,0; 0,0; -2,0; -2,0; -2,0; -2,0
"09210340 Gebyrer på motorområdet "; 0,0; 0,0; -2,0; -2,0; -2,0; -2,0
"092105 Godtgørelser mv. "; 0,0; 0,0; -24,5; -24,5; -24,5; -24,5
"09210540 nummerpladeoperatører "; 0,0; 0,0; -24,5; -24,5; -24,5; -24,5
"092179 Reserver og budgetregulering "; 0,0; 0,0; 28,8; 0,0; 0,0; 0,0
"09217920 reserve skattereformen "; 0,0; 0,0; 28,8; 0,0; 0,0; 0,0
"10 Økonomi- og Indenrigsministeriet "; 0,0; 0,0; 53,5; 52,7; 52,7; 52,5
"101 Fællesudgifter "; 0,0; 0,0; 23,8; 23,0; 23,0; 22,8
"1011 Centralstyrelsen "; 0,0; 0,0; 1,0; 0,0; 0,0; 0,0
"101101 Departementet "; 0,0; 0,0; 1,0; 0,0; 0,0; 0,0
"10110120 Modernisering og afbureaukratisering "; 0,0; 0,0; 1,0; 0,0; 0,0; 0,0
"1013 Regional statsforvaltning "; 0,0; 0,0; 22,8; 23,0; 23,0; 22,8
"101301 Regional statsforvaltning "; 0,0; 0,0; 22,8; 23,0; 23,0; 22,8
"10130110 Almindelig virksomhed "; 0,0; 0,0; 22,8; 23,0; 23,0; 22,8
"102 Tilskud til kommuner mv. "; 0,0; 0,0; 29,7; 29,7; 29,7; 29,7
"1021 Tilskud til kommuner "; 0,0; 0,0; 29,7; 29,7; 29,7; 29,7
"102119 Fordeling af skattenedslag "; 0,0; 0,0; 29,7; 29,7; 29,7; 29,7
"10211910 Fordeling af skattenedslag som følge af perso"; 0,0; 0,0; 29,7; 29,7; 29,7; 29,7
"11 Justitsministeriet "; 0,0; 0,0; 904,6; 738,7; 776,9; 802,6
"111 Fællesudgifter "; 0,0; 0,0; 7,1; 7,2; 7,2; 7,2
"1111 Centralstyrelsen "; 0,0; 0,0; 7,1; 7,2; 7,2; 7,2
"111101 Departementet "; 0,0; 0,0; 4,5; 4,6; 4,6; 4,6
"11110110 Almindelig virksomhed "; 0,0; 0,0; 3,5; 3,6; 3,6; 3,6
"11110140 Støtte til foreninger mv. "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"111179 Reserver og budgetregulering "; 0,0; 0,0; 2,6; 2,6; 2,6; 2,6
"11117960 Det kommunale lov- og cirkulæreprogram "; 0,0; 0,0; 2,6; 2,6; 2,6; 2,6
"112 Politivæsenet "; 0,0; 0,0; 44,2; 34,7; 3,0; 3,0
"1123 Politi "; 0,0; 0,0; 44,2; 34,7; 3,0; 3,0
"112301 Politiet og den lokale anklagemyndighed mv. "; 0,0; 0,0; 24,2; 14,7; -17,0; -17,0
"11230110 Almindelig virksomhed "; 0,0; 0,0; 24,2; 14,7; -17,0; -17,0
"112304 Den Centrale Anklagemyndighed "; 0,0; 0,0; 18,0; 18,0; 18,0; 18,0
"11230410 Almindelig virksomhed "; 0,0; 0,0; 18,0; 18,0; 18,0; 18,0
"112314 Rådet for Sikker Trafik "; 0,0; 0,0; 2,0; 2,0; 2,0; 2,0
"11231410 Rådet for Sikker Trafik "; 0,0; 0,0; 2,0; 2,0; 2,0; 2,0
"113 Kriminalforsorg "; 0,0; 0,0; 349,5; 404,1; 481,1; 506,8
"1131 Kriminalforsorg "; 0,0; 0,0; 349,5; 404,1; 481,1; 506,8
